id,pokemon_id,back_default,back_female,back_shiny,back_shiny_female,front_default,front_female,front_shiny,front_shiny_female,gen_eight_front_default,gen_eight_front_shiny,created_at,updated_at
11,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/11.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/11.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/11.png,,https://www.serebii.net/swordshield/pokemon/011.png,https://www.serebii.net/Shiny/SWSH/011.png,2020-11-05 21:16:27.138035,2020-11-05 21:16:27.138035
12,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/12.png,https://www.serebii.net/swordshield/pokemon/012.png,https://www.serebii.net/Shiny/SWSH/012.png,2020-11-05 21:16:27.918598,2020-11-05 21:16:27.918598
13,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/13.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/13.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/13.png,,https://www.serebii.net/swordshield/pokemon/013.png,https://www.serebii.net/Shiny/SWSH/013.png,2020-11-05 21:16:28.65805,2020-11-05 21:16:28.65805
14,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/14.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/14.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/14.png,,https://www.serebii.net/swordshield/pokemon/014.png,https://www.serebii.net/Shiny/SWSH/014.png,2020-11-05 21:16:29.303684,2020-11-05 21:16:29.303684
858,858,,,,,,,,,https://serebii.net/swordshield/pokemon/857.png,https://serebii.net/Shiny/SWSH/857.png,2020-11-05 21:42:54.376779,2020-11-05 21:42:54.376779
859,859,,,,,,,,,https://serebii.net/swordshield/pokemon/858.png,https://serebii.net/Shiny/SWSH/858.png,2020-11-05 21:42:55.273634,2020-11-05 21:42:55.273634
15,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/15.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/15.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/15.png,,https://www.serebii.net/swordshield/pokemon/015.png,https://www.serebii.net/Shiny/SWSH/015.png,2020-11-05 21:16:30.096914,2020-11-05 21:16:30.096914
16,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/16.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/16.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/16.png,,https://www.serebii.net/swordshield/pokemon/016.png,https://www.serebii.net/Shiny/SWSH/016.png,2020-11-05 21:16:31.073566,2020-11-05 21:16:31.073566
17,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/17.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/17.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/17.png,,https://www.serebii.net/swordshield/pokemon/017.png,https://www.serebii.net/Shiny/SWSH/017.png,2020-11-05 21:16:32.092046,2020-11-05 21:16:32.092046
18,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/18.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/18.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/18.png,,https://www.serebii.net/swordshield/pokemon/018.png,https://www.serebii.net/Shiny/SWSH/018.png,2020-11-05 21:16:33.017755,2020-11-05 21:16:33.017755
19,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/19.png,https://www.serebii.net/swordshield/pokemon/019.png,https://www.serebii.net/Shiny/SWSH/019.png,2020-11-05 21:16:33.84392,2020-11-05 21:16:33.84392
20,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/20.png,https://www.serebii.net/swordshield/pokemon/020.png,https://www.serebii.net/Shiny/SWSH/020.png,2020-11-05 21:16:34.529282,2020-11-05 21:16:34.529282
21,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/21.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/21.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/21.png,,https://www.serebii.net/swordshield/pokemon/021.png,https://www.serebii.net/Shiny/SWSH/021.png,2020-11-05 21:16:35.113315,2020-11-05 21:16:35.113315
22,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/22.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/22.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/22.png,,https://www.serebii.net/swordshield/pokemon/022.png,https://www.serebii.net/Shiny/SWSH/022.png,2020-11-05 21:16:36.109646,2020-11-05 21:16:36.109646
23,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/23.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/23.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/23.png,,https://www.serebii.net/swordshield/pokemon/023.png,https://www.serebii.net/Shiny/SWSH/023.png,2020-11-05 21:16:36.863239,2020-11-05 21:16:36.863239
24,24,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/24.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/24.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/24.png,,https://www.serebii.net/swordshield/pokemon/024.png,https://www.serebii.net/Shiny/SWSH/024.png,2020-11-05 21:16:37.699646,2020-11-05 21:16:37.699646
25,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/25.png,https://www.serebii.net/swordshield/pokemon/025.png,https://www.serebii.net/Shiny/SWSH/025.png,2020-11-05 21:16:38.372501,2020-11-05 21:16:38.372501
26,26,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/26.png,https://www.serebii.net/swordshield/pokemon/026.png,https://www.serebii.net/Shiny/SWSH/026.png,2020-11-05 21:16:39.058797,2020-11-05 21:16:39.058797
27,27,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/27.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/27.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/27.png,,https://www.serebii.net/swordshield/pokemon/027.png,https://www.serebii.net/Shiny/SWSH/027.png,2020-11-05 21:16:39.765298,2020-11-05 21:16:39.765298
28,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/28.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/28.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/28.png,,https://www.serebii.net/swordshield/pokemon/028.png,https://www.serebii.net/Shiny/SWSH/028.png,2020-11-05 21:16:40.490463,2020-11-05 21:16:40.490463
29,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/29.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/29.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/29.png,,https://www.serebii.net/swordshield/pokemon/029.png,https://www.serebii.net/Shiny/SWSH/029.png,2020-11-05 21:16:41.308123,2020-11-05 21:16:41.308123
30,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/30.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/30.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/30.png,,https://www.serebii.net/swordshield/pokemon/030.png,https://www.serebii.net/Shiny/SWSH/030.png,2020-11-05 21:16:42.108536,2020-11-05 21:16:42.108536
31,31,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/31.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/31.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/31.png,,https://www.serebii.net/swordshield/pokemon/031.png,https://www.serebii.net/Shiny/SWSH/031.png,2020-11-05 21:16:42.971907,2020-11-05 21:16:42.971907
32,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/32.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/32.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/32.png,,https://www.serebii.net/swordshield/pokemon/032.png,https://www.serebii.net/Shiny/SWSH/032.png,2020-11-05 21:16:43.732592,2020-11-05 21:16:43.732592
33,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/33.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/33.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/33.png,,https://www.serebii.net/swordshield/pokemon/033.png,https://www.serebii.net/Shiny/SWSH/033.png,2020-11-05 21:16:44.525143,2020-11-05 21:16:44.525143
34,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/34.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/34.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/34.png,,https://www.serebii.net/swordshield/pokemon/034.png,https://www.serebii.net/Shiny/SWSH/034.png,2020-11-05 21:16:45.426796,2020-11-05 21:16:45.426796
35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/35.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/35.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/35.png,,https://www.serebii.net/swordshield/pokemon/035.png,https://www.serebii.net/Shiny/SWSH/035.png,2020-11-05 21:16:46.268199,2020-11-05 21:16:46.268199
36,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/36.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/36.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/36.png,,https://www.serebii.net/swordshield/pokemon/036.png,https://www.serebii.net/Shiny/SWSH/036.png,2020-11-05 21:16:47.101414,2020-11-05 21:16:47.101414
37,37,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/37.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/37.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/37.png,,https://www.serebii.net/swordshield/pokemon/037.png,https://www.serebii.net/Shiny/SWSH/037.png,2020-11-05 21:16:47.693612,2020-11-05 21:16:47.693612
38,38,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/38.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/38.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/38.png,,https://www.serebii.net/swordshield/pokemon/038.png,https://www.serebii.net/Shiny/SWSH/038.png,2020-11-05 21:16:48.524317,2020-11-05 21:16:48.524317
39,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/39.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/39.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/39.png,,https://www.serebii.net/swordshield/pokemon/039.png,https://www.serebii.net/Shiny/SWSH/039.png,2020-11-05 21:16:49.348776,2020-11-05 21:16:49.348776
40,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/40.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/40.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/40.png,,https://www.serebii.net/swordshield/pokemon/040.png,https://www.serebii.net/Shiny/SWSH/040.png,2020-11-05 21:16:50.313945,2020-11-05 21:16:50.313945
41,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/41.png,https://www.serebii.net/swordshield/pokemon/041.png,https://www.serebii.net/Shiny/SWSH/041.png,2020-11-05 21:16:51.438594,2020-11-05 21:16:51.438594
42,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/42.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/42.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/42.png,https://www.serebii.net/swordshield/pokemon/042.png,https://www.serebii.net/Shiny/SWSH/042.png,2020-11-05 21:16:52.241406,2020-11-05 21:16:52.241406
43,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/43.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/43.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/43.png,,https://www.serebii.net/swordshield/pokemon/043.png,https://www.serebii.net/Shiny/SWSH/043.png,2020-11-05 21:16:53.172731,2020-11-05 21:16:53.172731
44,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/44.png,https://www.serebii.net/swordshield/pokemon/044.png,https://www.serebii.net/Shiny/SWSH/044.png,2020-11-05 21:16:54.020143,2020-11-05 21:16:54.020143
45,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/45.png,https://www.serebii.net/swordshield/pokemon/045.png,https://www.serebii.net/Shiny/SWSH/045.png,2020-11-05 21:16:54.789222,2020-11-05 21:16:54.789222
46,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/46.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/46.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/46.png,,https://www.serebii.net/swordshield/pokemon/046.png,https://www.serebii.net/Shiny/SWSH/046.png,2020-11-05 21:16:55.631529,2020-11-05 21:16:55.631529
