id,name,description,short_description,created_at,updated_at
27,effect_spore,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed, poisoned, or put to sleep, chosen at random.

Nothing is done to compensate if the move's user is immune to one of these ailments; there is simply a lower chance that the move's user will be affected.","Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact.",2020-11-05 21:13:47.774026,2020-11-05 21:13:47.774026
28,synchronize,"Whenever this Pokémon is burned, paralyzed, or poisoned, the Pokémon who gave this Pokémon that ailment is also given the ailment.

This ability passes back bad poison when this Pokémon is badly poisoned.  This ability cannot pass on a status ailment that the Pokémon did not directly receive from another Pokémon, such as the poison from toxic spikes or the burn from a flame orb.

Overworld: If the lead Pokémon has this ability, wild Pokémon have a 50% chance of having the lead Pokémon's nature, and a 50% chance of being given a random nature as usual, including the lead Pokémon's nature.  This does not work on Pokémon received outside of battle or roaming legendaries.","Copies burns, paralysis, and poison received onto the Pokémon that inflicted them.",2020-11-05 21:13:48.437174,2020-11-05 21:13:48.437174
29,clear_body,"This Pokémon cannot have its stats lowered by other Pokémon.

This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis.  This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap.

This ability functions identically to white smoke in battle.",Prevents stats from being lowered by other Pokémon.,2020-11-05 21:13:48.67237,2020-11-05 21:13:48.67237
30,natural_cure,"This Pokémon is cured of any major status ailment when it is switched out for another Pokémon.

If this ability is acquired during battle, the Pokémon is cured upon leaving battle before losing the temporary ability.",Cures any major status ailment upon switching out.,2020-11-05 21:13:48.946504,2020-11-05 21:13:48.946504
31,lightning_rod,"All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target.  Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.

If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.","Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage.",2020-11-05 21:13:49.76933,2020-11-05 21:13:49.76933
32,serene_grace,"This Pokémon's moves have twice their usual effect chance.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect.  For example, flamethrower's chance of burning the target is doubled, but protect's chance of success and air cutter's increased critical hit rate are unaffected.

secret power is unaffected.",Doubles the chance of moves' extra effects occurring.,2020-11-05 21:13:49.983783,2020-11-05 21:13:49.983783
33,swift_swim,"This Pokémon's Speed is doubled during rain.

This bonus does not count as a stat modifier.",Doubles Speed during rain.,2020-11-05 21:13:50.190824,2020-11-05 21:13:50.190824
34,chlorophyll,"This Pokémon's Speed is doubled during strong sunlight.

This bonus does not count as a stat modifier.",Doubles Speed during strong sunlight.,2020-11-05 21:13:50.550555,2020-11-05 21:13:50.550555
35,illuminate,"Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.

This ability has no effect in battle.",Doubles the wild encounter rate.,2020-11-05 21:13:50.773195,2020-11-05 21:13:50.773195
36,trace,"When this Pokémon enters battle, it copies a random opponent's ability.

This ability cannot copy flower gift, forecast, illusion, imposter, multitype, trace, wonder guard, or zen mode.",Copies an opponent's ability upon entering battle.,2020-11-05 21:13:51.612175,2020-11-05 21:13:51.612175
37,huge_power,"This Pokémon's Attack is doubled while in battle.

This bonus does not count as a stat modifier.

This ability functions identically to pure power.",Doubles Attack in battle.,2020-11-05 21:13:52.411623,2020-11-05 21:13:52.411623
38,poison_point,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",Has a 30% chance of poisoning attacking Pokémon on contact.,2020-11-05 21:13:52.636854,2020-11-05 21:13:52.636854
39,inner_focus,This Pokémon cannot flinch.,Prevents flinching.,2020-11-05 21:13:52.866235,2020-11-05 21:13:52.866235
40,magma_armor,"This Pokémon cannot be frozen.

If a Pokémon is frozen and acquires this ability, it will immediately thaw out; this includes when regaining a lost ability upon leaving battle.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or flame body.",Prevents freezing.,2020-11-05 21:13:53.092654,2020-11-05 21:13:53.092654
285,high_rise,,,2020-11-05 21:16:10.020441,2020-11-05 21:16:10.020441
41,water_veil,"This Pokémon cannot be burned.

If a Pokémon is burned and acquires this ability, its burn is healed; this includes when regaining a lost ability upon leaving battle.",Prevents burns.,2020-11-05 21:13:53.420842,2020-11-05 21:13:53.420842
42,magnet_pull,"While this Pokémon is in battle, opposing steel-type Pokémon cannot flee or switch out.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, Steel-type Pokémon have a higher encounter rate.",Prevents steel opponents from fleeing or switching out.,2020-11-05 21:13:53.66006,2020-11-05 21:13:53.66006
43,soundproof,"This Pokémon is immune to moves flagged as being sound-based.

heal bell is unaffected.  uproar still prevents this Pokémon from sleeping.  This Pokémon can still receive a Perish Song counter through baton pass, and will retain a Perish Song counter if it acquires this ability after Perish Song is used.

howl, roar of time, sonic boom, and yawn are not flagged as sound-based.",Protects against sound-based moves.,2020-11-05 21:13:53.873503,2020-11-05 21:13:53.873503
44,rain_dish,This Pokémon heals for 1/16 of its maximum HP after each turn during rain.,Heals for 1/16 max HP after each turn during rain.,2020-11-05 21:13:54.125274,2020-11-05 21:13:54.125274
45,sand_stream,"The weather changes to a sandstorm when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Summons a sandstorm that lasts indefinitely upon entering battle.,2020-11-05 21:13:54.726584,2020-11-05 21:13:54.726584
46,pressure,"Moves targetting this Pokémon use one extra PP.

This ability stacks if multiple targets have it.  This ability still affects moves that fail or miss.  This ability does not affect ally moves that target either the entire field or just its side, nor this Pokémon's self-targetted moves; it does, however, affect single-targetted ally moves aimed at this Pokémon, ally moves that target all other Pokémon, and opponents' moves that target the entire field.  If this ability raises a move's PP cost above its remaining PP, it will use all remaining PP.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",Increases the PP cost of moves targetting the Pokémon by one.,2020-11-05 21:13:55.706554,2020-11-05 21:13:55.706554
47,thick_fat,This Pokémon takes half as much damage from fire- and ice-type moves.,Halves damage from fire and ice moves.,2020-11-05 21:13:55.957082,2020-11-05 21:13:55.957082
48,early_bird,"This Pokémon's remaining sleep turn count falls by 2 rather than 1.

If this Pokémon's sleep counter is at 1, it will fall to 0 and then the Pokémon will wake up.",Makes sleep pass twice as quickly.,2020-11-05 21:13:56.161868,2020-11-05 21:13:56.161868
49,flame_body,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being burned.

Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly.  This effect does not stack if multiple Pokémon have this ability or magma armor.",Has a 30% chance of burning attacking Pokémon on contact.,2020-11-05 21:13:56.400457,2020-11-05 21:13:56.400457
50,run_away,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",Ensures success fleeing from wild battles.,2020-11-05 21:13:57.345686,2020-11-05 21:13:57.345686
51,keen_eye,"This Pokémon cannot have its accuracy lowered.

This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate.  This Pokémon can still be passed negative accuracy modifiers through heart swap.

Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",Prevents accuracy from being lowered.,2020-11-05 21:13:57.561133,2020-11-05 21:13:57.561133
52,hyper_cutter,"This Pokémon's Attack cannot be lowered by other Pokémon.

This ability does not prevent any Attack losses other than stat modifiers, such as the Attack cut from a burn.  This Pokémon can still be passed negative Attack modifiers through heart swap or power swap.",Prevents Attack from being lowered by other Pokémon.,2020-11-05 21:13:57.800508,2020-11-05 21:13:57.800508
53,pickup,"At the end of each turn, if another Pokémon consumed or Flung a held item that turn, this Pokémon picks up the item if it is not already holding one.  After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one.

The air balloon and eject button cannot be picked up.

The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level.  This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.,2020-11-05 21:13:58.025481,2020-11-05 21:13:58.025481
54,truant,"Every second turn on which this Pokémon should attempt to use a move, it will instead do nothing (""loaf around"").

Loafing around interrupts moves that take multiple turns the same way paralysis, flinching, etc do.  Most such moves, for example bide or rollout, are simply cut off upon loafing around.  Attacks with a recharge turn, such as hyper beam, do not have to recharge; attacks with a preparation turn, such as fly, do not end up being used.  Moves that are forced over multiple turns and keep going through failure, such as outrage, uproar, or any move forced by encore, keep going as usual.

If this Pokémon is confused, its confusion is not checked when loafing around; the Pokémon cannot hurt itself, and its confusion does not end or come closer to ending.

If this Pokémon attempts to move but fails, e.g. because of paralysis or gravity, it still counts as having moved and will loaf around the next turn.  If it does not attempt to move, e.g. because it is asleep or frozen, whatever it would have done will be postponed until its next attempt; that is, it will either loaf around or move as usual, depending on what it last did.

This ability cannot be changed with worry seed, but it can be disabled with gastro acid, changed with role play, or traded away with skill swap.",Skips every second turn.,2020-11-05 21:13:58.269004,2020-11-05 21:13:58.269004
55,hustle,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy.

Special moves are unaffected.  Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.","Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×.",2020-11-05 21:13:58.810255,2020-11-05 21:13:58.810255
56,cute_charm,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated.

Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual.",Has a 30% chance of infatuating attacking Pokémon on contact.,2020-11-05 21:13:59.0506,2020-11-05 21:13:59.0506
57,plus,"This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus.

This bonus does not count as a stat modifier.  If either ability is disabled by gastro acid, both lose their effect.",Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.,2020-11-05 21:13:59.292067,2020-11-05 21:13:59.292067
58,minus,"This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus.

This bonus does not count as a stat modifier.  If either ability is disabled by gastro acid, both lose their effect.",Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.,2020-11-05 21:13:59.91033,2020-11-05 21:13:59.91033
59,forecast,"During rain, strong sunlight, or hail, this Pokémon's type changes to water, fire, or ice, respectively, and its form changes to match.

This ability has no effect for any Pokémon other than castform.

If the weather ends or becomes anything that does not trigger this ability, or a Pokémon with air lock or cloud nine enters battle, this Pokémon's type and form revert to their default.  If this ability is lost or disabled, this Pokémon cannot change its current type and form until it regains its ability.",Changes castform's type and form to match the weather.,2020-11-05 21:14:00.21926,2020-11-05 21:14:00.21926
60,sticky_hold,"This Pokémon's hold item cannot be removed by other Pokémon.

Damaging moves that would remove this Pokémon's item can still inflict damage against this Pokémon, e.g. knock off or pluck.  This Pokémon can still use moves that involve the loss of its own item, e.g. fling or trick.

Overworld: If the lead Pokémon has this ability, the encounter rate while fishing is increased.",Prevents a held item from being removed by other Pokémon.,2020-11-05 21:14:00.488508,2020-11-05 21:14:00.488508
61,shed_skin,"After each turn, this Pokémon has a 33% of being cured of any major status ailment.",Has a 33% chance of curing any major status ailment after each turn.,2020-11-05 21:14:01.648483,2020-11-05 21:14:01.648483
62,guts,"Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack.  This Pokémon is not affected by the usual Attack cut from a burn.

This bonus does not count as a stat modifier.",Increases Attack to 1.5× with a major status ailment.,2020-11-05 21:14:01.920604,2020-11-05 21:14:01.920604
63,marvel_scale,"Whenever this Pokémon has a major status ailment, it has 1.5× its Defense.

This bonus does not count as a stat modifier.",Increases Defense to 1.5× with a major status ailment.,2020-11-05 21:14:03.078192,2020-11-05 21:14:03.078192
64,liquid_ooze,"Whenever a Pokémon would heal after hitting this Pokémon with a leeching move like absorb, it instead loses as many HP as it would usually gain.

dream eater is unaffected.",Damages opponents using leeching moves for as much as they would heal.,2020-11-05 21:14:03.716872,2020-11-05 21:14:03.716872
65,overgrow,"When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.",Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.,2020-11-05 21:14:03.939107,2020-11-05 21:14:03.939107
66,blaze,"When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage.",Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.,2020-11-05 21:14:04.189405,2020-11-05 21:14:04.189405
67,torrent,"When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage.",Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.,2020-11-05 21:14:04.831923,2020-11-05 21:14:04.831923
68,swarm,"When this Pokémon has 1/3 or less of its HP remaining, its bug-type moves inflict 1.5× as much regular damage.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.",Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.,2020-11-05 21:14:05.062383,2020-11-05 21:14:05.062383
69,rock_head,"This Pokémon does not receive recoil damage from its recoil moves.

struggle's recoil is unaffected.  This ability does not prevent crash damage from missing with jump kick or high jump kick.",Protects against recoil damage.,2020-11-05 21:14:05.300671,2020-11-05 21:14:05.300671
70,drought,"The weather changes to strong sunlight when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons strong sunlight that lasts indefinitely upon entering battle.,2020-11-05 21:14:05.897951,2020-11-05 21:14:05.897951
71,arena_trap,"While this Pokémon is in battle, opposing Pokémon cannot flee or switch out.  flying-type Pokémon and Pokémon in the air, e.g. due to levitate or magnet rise, are unaffected.

Pokémon with run away can still flee.  Pokémon can still switch out with the use of a move or item.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.",Prevents opponents from fleeing or switching out.  Eluded by flying-types and Pokémon in the air.,2020-11-05 21:14:06.10774,2020-11-05 21:14:06.10774
72,vital_spirit,"This Pokémon cannot be asleep.

This causes rest to fail altogether.  If a Pokémon is asleep and acquires this ability, it will immediately wake up; this includes when regaining a lost ability upon leaving battle.

This ability functions identically to insomnia in battle.

Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",Prevents sleep.,2020-11-05 21:14:06.30667,2020-11-05 21:14:06.30667
73,white_smoke,"This Pokémon cannot have its stats lowered by other Pokémon.

This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis; nor self-inflicted stat drops, such as the Special Attack drop from overheat; nor opponent-triggered stat boosts, such as the Attack boost from swagger.  This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap.

This ability functions identically to clear body in battle.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved.",Prevents stats from being lowered by other Pokémon.,2020-11-05 21:14:06.548584,2020-11-05 21:14:06.548584
74,pure_power,"This Pokémon's Attack is doubled in battle.

This bonus does not count as a stat modifier.

This ability functions identically to huge power.",Doubles Attack in battle.,2020-11-05 21:14:06.769414,2020-11-05 21:14:06.769414
75,shell_armor,"Moves cannot score critical hits against this Pokémon.

This ability functions identically to battle armor.",Protects against critical hits.,2020-11-05 21:14:07.585103,2020-11-05 21:14:07.585103
76,air_lock,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to cloud nine.","Negates all effects of weather, but does not prevent the weather itself.",2020-11-05 21:14:07.836684,2020-11-05 21:14:07.836684
77,tangled_feet,"When this Pokémon is confused, it has twice its evasion.",Doubles evasion when confused.,2020-11-05 21:14:08.044437,2020-11-05 21:14:08.044437
78,motor_drive,"Whenever an electric-type move hits this Pokémon, its Speed rises one stage, negating any other effect on it.

This ability will not take effect if this Pokémon is immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave.","Absorbs electric moves, raising Speed one stage.",2020-11-05 21:14:08.810684,2020-11-05 21:14:08.810684
135,light_metal,This Pokémon has half the usual weight for its species.,Halves the Pokémon's weight.,2020-11-05 21:14:34.631481,2020-11-05 21:14:34.631481
79,rivalry,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender.",2020-11-05 21:14:09.012206,2020-11-05 21:14:09.012206
80,steadfast,"Whenever this Pokémon flinches, its Speed rises one stage.",Raises Speed one stage upon flinching.,2020-11-05 21:14:09.361704,2020-11-05 21:14:09.361704
81,snow_cloak,"During hail, this Pokémon has 1.25× its evasion, and it does not take hail damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in snow.",Increases evasion to 1.25× during hail.  Protects against hail damage.,2020-11-05 21:14:09.999177,2020-11-05 21:14:09.999177
82,gluttony,"This Pokémon eats any held Berry triggered by low HP when it falls below 50% of its HP, regardless of the Berry's usual threshold.",Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.,2020-11-05 21:14:10.218691,2020-11-05 21:14:10.218691
83,anger_point,"Whenever this Pokémon receives a critical hit, its Attack rises to the maximum of 6 stages.

This ability will still take effect if the critical hit is received by a substitute.",Raises Attack to the maximum of six stages upon receiving a critical hit.,2020-11-05 21:14:10.420089,2020-11-05 21:14:10.420089
84,unburden,"When this Pokémon uses or loses its held item, its Speed is doubled.  If it gains another item or leaves battle, this bonus is lost.

This includes when the Pokémon drops its item because of knock off.  This bonus does not count as a stat modifier.  There is no notification when this ability takes effect.",Doubles Speed upon using or losing a held item.,2020-11-05 21:14:10.700403,2020-11-05 21:14:10.700403
85,heatproof,This Pokémon takes half as much damage from fire-type moves and burns.,Halves damage from fire moves and burns.,2020-11-05 21:14:11.374022,2020-11-05 21:14:11.374022
86,simple,"Each stage of this Pokémon's stat modifiers acts as two stages.  These doubled stages are still limited to a minimum of -6 and a maximum of 6.

This Pokémon can still accumulate less than -3 or more than 3 stages of stat modifiers, even though the extra ones have no effect after doubling.",Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages.,2020-11-05 21:14:11.595776,2020-11-05 21:14:11.595776
